I1,I2,I3
1.379,-0.913,-0.033
1.379,-0.987,-0.048
1.15,-0.785,-0.046
1.38,-0.628,-0.126
1.148,-0.643,-0.302
1.15,-0.77,-0.254
1.148,-0.883,-0.17
0.689,-0.868,-0.122
1.15,-0.913,-0.048
1.15,-0.928,0.004
1.15,-0.673,-0.017
1.15,-0.471,-0.269
0.689,-0.426,-0.043
0.689,-0.456,-0.198
1.38,-0.598,-0.24
0.689,-0.755,-0.144
0.69,-0.8,0.084
1.15,-0.815,0.192
1.148,-0.77,0.283
0.69,-0.598,0.404
1.15,-0.411,0.275
0.689,-0.157,0.099
1.379,0,-0.105
0.459,0.03,-0.138
1.15,0,-0.316
1.15,0,-0.458
1.15,0.045,-0.37
1.15,0.075,-0.369
1.839,0.045,-0.406
0.919,-0.052,-0.319
0.689,-0.022,-0.228
0.92,0.03,-0.187
0.92,0.075,-0.183
1.15,0.06,-0.002
1.379,-0.022,-0.048
0.689,-0.022,-0.048
1.15,0.015,0.132
0.689,0.075,0.223
0.919,0.09,0.187
0.92,0.075,0.311
1.609,0.09,0.281
0.459,0.15,0.458
1.15,0.307,0.353
1.378,0.374,0.352
1.15,0.277,0.295
1.15,0.15,0.299
1.61,0.307,0.481
1.38,0.576,0.557
0.919,0.546,0.242
0.919,0.576,0.298
1.379,0.546,0.302
0.919,0.561,0.383
1.38,0.479,0.433
1.148,0.434,0.457
1.15,0.561,0.676
1.38,0.748,0.586
0.919,0.778,0.566
0.689,0.733,0.459
0.689,0.875,0.382
1.61,1.032,0.325
1.609,1.017,0.266
0.919,0.965,0.183
1.609,1.249,0.287
1.15,1.092,0.223
0.919,0.98,0.243
0.919,1.047,0.303
1.38,1.092,0.283
1.38,1.219,0.367
0.919,1.279,0.315
1.38,0.965,0.131
1.38,1.279,0.134
0.919,1.451,0.195
0.689,1.361,0.103
0.689,1.077,-0.012
1.379,1.122,0.232
1.15,1.264,0.277
0.919,1.406,0.033
1.15,1.264,0.029
1.379,0.95,0.004
0.918,0.98,0.223
1.61,1.032,0.28
0.92,1.204,0.276
1.15,1.294,0.035
1.379,1.017,0.013
0.92,0.748,0.077
0.92,0.718,0.182
1.15,0.793,0.139
1.609,0.875,0.035
1.15,1.017,-0.007
1.15,1.152,-0.093
1.15,0.823,-0.19
1.148,0.576,-0.002
0.459,0.464,0.087
1.378,0.449,0.258
1.38,0.389,0.168
1.379,0.434,0.101
1.381,0.449,0.293
1.61,0.561,0.2
1.379,0.576,0.048
1.15,0.688,-0.02
1.15,0.651,-0.273
1.15,0.202,-0.295
1.379,-0.209,-0.463
0.689,-0.314,0.427
1.379,-0.082,0.509
0.689,0.217,0.42
0.92,0.187,0.087
1.15,-0.067,-0.039
0.919,-0.127,-0.034
0.689,-0.037,0.19
1.38,-0.022,-0.11
1.379,-0.127,-0.042
0.918,-0.18,-0.204
0.92,-0.127,-0.115
